Apps,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,PoM,Off,Based,Tck R,CA,Gls/xG,Dist/Mins,Value
12.0,88.83333333333333,181.0,78.0,25,7.17,1.0,0.5,0.0,0.41,2.82,0.08,1.6,0.96,0.21,0.68,147.4,0.67,3.0,10.0,2.7,37.0,2.0,2.0,Croatia (Prva HNL),0.85,110,2.4390243902439024,0.1382739212007504,1155000.0
15.0,90.0,182.0,72.0,25,7.21,2.0,0.3,0.0,0.87,0.5,0.13,1.6,0.92,0.18,0.67,175.3,0.53,0.0,24.0,1.47,26.0,3.0,0.0,Italy (Lega Nazionale Dilettanti E),0.88,92,2.2988505747126435,0.1298518518518518,165000.0
12.0,88.91666666666667,184.0,80.0,24,6.48,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.97,0.33,0.08,122.6,0.8,2.0,13.0,1.43,71.0,0.0,1.0,Croatia (Prva HNL),0.87,102,0.0,0.1149015932521087,50000.0
16.0,91.75,185.0,76.0,20,6.85,0.0,0.13,0.0,2.26,0.21,0.18,0.61,0.92,0.29,0.06,176.5,0.69,3.0,14.0,2.76,170.0,0.0,1.0,Croatia (3. HNL Jug),1.0,86,0.0,0.1202316076294277,8000.0
17.0,89.94117647058823,187.0,78.0,25,6.84,0.0,0.0,0.0,0.0,0.07,0.06,0.18,0.89,0.2,0.0,177.1,0.74,2.0,9.0,2.83,153.0,0.0,0.0,Croatia (Prva HNL),0.82,114,0.0,0.1158273381294964,41000.0
11.0,78.0,177.0,71.0,23,7.4,0.0,0.17,0.0,1.35,1.29,0.31,2.1,0.9,0.28,3.15,122.1,0.59,0.0,17.0,1.78,16.0,1.0,2.0,Italy (Lega Nazionale Dilettanti F),1.0,89,0.0,0.1423076923076923,105000.0
11.0,89.0,185.0,73.0,27,7.2,2.0,0.29,0.0,0.82,0.83,0.09,1.2,0.9,0.37,0.55,117.5,0.75,0.0,8.0,1.75,23.0,0.0,0.0,Italy (Lega Nazionale Dilettanti C),0.9,90,2.4390243902439024,0.120020429009193,22000.0
11.0,90.0,195.0,85.0,24,6.94,0.0,0.14,0.0,0.84,0.0,0.0,0.18,0.88,0.0,0.18,109.7,0.82,2.0,11.0,2.18,87.0,0.0,0.0,Italy (Serie B),0.88,115,0.0,0.1108080808080808,260000.0
16.0,90.0,194.0,84.0,28,6.49,1.0,1.0,0.0,0.03,0.0,0.0,0.12,0.97,0.0,0.0,166.4,0.59,3.0,18.0,2.12,110.0,0.0,1.0,Croatia (Prva HNL),0.94,106,33.333333333333336,0.1155555555555555,59000.0
11.0,85.72727272727273,183.0,78.0,24,6.78,0.0,0.25,0.0,0.33,0.12,0.1,0.67,0.91,0.0,0.1,134.7,0.74,1.0,23.0,1.81,20.0,0.0,0.0,Portugal (Liga 3 Norte),0.67,87,0.0,0.1428419936373276,5500.0
11.0,90.0,165.0,59.0,19,6.88,0.0,0.25,0.0,0.17,0.11,0.09,0.27,0.94,0.0,0.0,111.5,0.73,0.0,10.0,4.18,129.0,0.0,1.0,Portugal (Liga 3 Norte),1.0,95,0.0,0.1126262626262626,385000.0
11.0,90.0,185.0,84.0,30,7.02,0.0,0.1,0.0,1.32,0.0,0.0,0.27,0.9,0.0,0.09,108.7,0.83,0.0,14.0,2.64,132.0,0.0,0.0,Portugal (Liga 3 Sul),1.0,96,0.0,0.1097979797979798,30000.0
15.0,90.0,182.0,77.0,30,6.77,0.0,0.0,0.0,0.03,0.0,0.07,1.13,0.86,0.14,0.13,164.9,0.7,0.0,22.0,2.73,76.0,0.0,2.0,Italy (Lega Nazionale Dilettanti E),0.97,80,0.0,0.1221481481481481,155000.0
15.0,94.0,189.0,78.0,32,7.03,3.0,0.43,0.0,1.07,0.25,0.0,0.83,0.93,0.16,0.19,177.2,0.9,0.0,32.0,1.6,30.0,1.0,1.0,Croatia (3. HNL Zapad),0.79,97,2.803738317757009,0.1256737588652482,18000.0
11.0,83.54545454545455,191.0,79.0,25,7.16,0.0,0.38,0.0,0.74,0.0,0.1,0.1,0.92,0.0,0.2,108.3,0.85,1.0,10.0,2.15,132.0,2.0,0.0,Portugal (Liga 3 Norte),0.78,99,0.0,0.1178454842219804,97500.0
20.0,90.0,192.0,88.0,25,7.04,1.0,0.22,0.0,0.18,0.0,0.05,0.05,0.84,0.0,0.0,97.9,0.88,0.0,17.0,1.1,105.0,1.0,0.0,Bosnia & Herzegovina (Liga 12),0.92,96,5.555555555555555,0.0543888888888888,330000.0
11.0,81.45454545454545,184.0,76.0,29,6.94,1.0,0.25,0.0,0.99,0.25,0.0,0.4,0.89,0.0,0.0,97.1,0.66,2.0,7.0,4.02,110.0,0.0,0.0,Portugal (Liga 3 Norte),1.0,88,1.0101010101010102,0.1083705357142857,15000.0
12.0,93.83333333333331,186.0,75.0,22,6.99,1.0,0.44,0.0,1.15,0.11,0.0,0.8,0.91,0.2,0.16,146.8,0.74,3.0,10.0,1.68,76.0,0.0,2.0,Portugal (Liga Portugal 2),0.79,106,0.8695652173913044,0.1303730017761989,260000.0
11.0,76.36363636363636,179.0,73.0,22,7.19,3.0,0.44,0.0,1.1,0.12,0.21,2.25,0.86,0.18,3.0,125.6,0.49,0.0,21.0,2.36,14.0,2.0,3.0,Croatia (Druga HNL),0.9,90,2.727272727272727,0.1495238095238095,33000.0
14.0,85.64285714285714,195.0,88.0,26,7.06,1.0,0.11,0.0,1.81,0.12,0.0,0.0,0.95,0.0,0.08,134.3,0.81,1.0,7.0,2.7,158.0,1.0,1.0,Italy (Lega Nazionale Dilettanti H),1.0,93,0.5524861878453039,0.1120100083402835,192500.0
13.0,90.0,190.0,83.0,22,6.91,0.0,0.18,0.0,1.23,0.0,0.0,0.15,0.93,0.0,0.0,128.7,0.7,4.0,9.0,2.31,150.0,0.0,0.0,Portugal (Liga Portugal 2),1.0,96,0.0,0.1099999999999999,425000.0
15.0,85.73333333333333,173.0,71.0,27,7.03,0.0,0.25,0.0,1.31,0.24,0.0,1.05,0.91,0.09,0.42,164.9,0.73,1.0,18.0,1.33,23.0,0.0,0.0,Italy (Lega Nazionale Dilettanti E),0.81,85,0.0,0.1282270606531881,192500.0
11.0,90.0,186.0,82.0,23,7.31,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.76,0.0,0.0,9.9,0.53,0.0,13.0,0.09,10.0,0.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,90,0.0,0.01,8750.0
15.0,87.33333333333333,186.0,82.0,28,7.09,1.0,0.38,0.0,0.44,0.36,0.14,0.21,0.93,1.0,0.0,146.1,0.82,1.0,15.0,2.82,163.0,0.0,2.0,Italy (Lega Nazionale Dilettanti F),0.67,92,2.272727272727273,0.1115267175572519,82000.0
16.0,84.5625,178.0,75.0,26,7.07,2.0,0.19,0.0,1.02,0.0,0.07,0.8,0.92,0.21,0.33,152.4,0.7,0.0,22.0,2.66,101.0,2.0,2.0,Italy (Lega Nazionale Dilettanti E),0.88,86,1.96078431372549,0.1126385809312638,71000.0
11.0,90.0,190.0,84.0,28,7.11,0.0,0.0,0.0,0.14,0.25,0.0,0.27,0.85,0.5,0.09,119.0,0.87,2.0,5.0,2.45,121.0,0.0,0.0,Portugal (FPF Liga 3),0.54,92,0.0,0.1202020202020202,60000.0
15.0,81.86666666666666,180.0,74.0,22,7.3,2.0,0.42,0.0,0.91,0.46,0.07,1.39,0.91,0.4,0.15,169.3,0.81,3.0,31.0,1.39,34.0,3.0,2.0,Italy (Lega Nazionale Dilettanti A),0.65,90,2.197802197802197,0.1378664495114006,151500.0
11.0,83.63636363636364,191.0,88.0,24,7.07,0.0,0.0,0.0,0.29,0.28,0.0,0.2,0.91,0.0,0.0,109.3,0.82,2.0,8.0,2.93,95.0,0.0,0.0,Portugal (FPF Liga 3),0.5,100,0.0,0.1188043478260869,72500.0
11.0,90.0,187.0,80.0,28,7.45,2.0,0.38,0.0,1.06,0.3,0.09,1.91,0.86,0.26,3.0,146.7,0.66,0.0,14.0,1.64,21.0,0.0,5.0,Croatia (Druga HNL),0.64,95,1.8867924528301885,0.1481818181818181,13250.0
12.0,90.0,196.0,102.0,24,7.26,2.0,0.33,0.0,0.93,0.0,0.08,0.33,0.94,0.0,0.08,123.9,0.83,2.0,5.0,3.75,133.0,1.0,0.0,Croatia (Druga HNL),1.0,97,2.150537634408602,0.1147222222222222,121000.0
12.0,85.66666666666667,177.0,65.0,26,7.44,4.0,0.41,0.0,3.84,0.77,0.53,1.58,0.88,0.31,1.49,137.7,0.42,0.0,17.0,1.14,15.0,2.0,5.0,Italy (Lega Nazionale Dilettanti E),0.7,86,1.0416666666666667,0.1339494163424124,151500.0
16.0,90.0,180.0,71.0,22,6.84,1.0,0.56,0.0,0.66,0.22,0.0,0.81,0.92,0.5,0.12,167.2,0.8,0.0,19.0,1.88,130.0,1.0,1.0,Italy (Lega Nazionale Dilettanti A),0.88,85,1.5151515151515151,0.1161111111111111,151500.0
13.0,90.0,187.0,80.0,31,7.22,1.0,0.1,0.0,3.06,0.15,0.31,0.77,0.86,0.14,0.69,137.0,0.78,1.0,17.0,2.23,58.0,1.0,2.0,Slovenia (2. SNL),0.87,95,0.326797385620915,0.1170940170940171,50000.0
38.0,90.0,194.0,81.0,27,7.03,1.0,0.22,0.0,0.36,0.0,0.05,0.0,0.84,0.0,0.0,94.8,0.83,1.0,45.0,0.55,83.0,1.0,1.0,Moldova (Divizia Naţională),0.91,105,2.7777777777777777,0.027719298245614,880000.0
16.0,87.4375,192.0,85.0,23,6.94,1.0,0.25,0.0,0.64,0.8,0.06,0.9,0.91,0.2,0.26,172.1,0.84,2.0,15.0,2.32,76.0,0.0,0.0,Croatia (3. HNL Zapad),0.93,87,1.5625,0.1230164403145103,7750.0
11.0,89.27272727272727,183.0,78.0,31,6.84,1.0,0.5,0.0,0.37,0.17,0.09,0.18,0.95,0.0,0.0,110.9,0.72,1.0,6.0,2.66,117.0,0.0,2.0,Italy (Lega Nazionale Dilettanti E),1.0,92,2.702702702702702,0.1129327902240325,150500.0
13.0,90.0,173.0,67.0,22,6.61,0.0,0.0,0.0,0.12,0.08,0.15,0.92,0.84,0.23,0.38,98.1,0.8,1.0,19.0,1.62,45.0,0.0,1.0,Austria (ADMIRAL 2. Liga),0.78,83,0.0,0.0838461538461538,390000.0
20.0,90.0,198.0,83.0,26,6.89,1.0,0.42,0.0,1.33,0.0,0.0,0.1,0.96,0.0,0.05,192.5,0.93,4.0,20.0,2.1,217.0,0.0,1.0,Croatia (Prva HNL),0.82,118,0.7518796992481203,0.1069444444444444,850000.0
16.0,79.9375,177.0,73.0,27,6.63,1.0,0.5,0.0,0.37,0.28,0.0,0.84,0.9,0.31,0.91,174.5,0.66,0.0,27.0,3.03,68.0,0.0,3.0,Croatia (3. HNL Jug),0.84,89,2.702702702702702,0.1364347146207975,18000.0
13.0,78.07692307692308,178.0,72.0,26,7.08,1.0,0.44,0.0,1.05,2.0,0.44,1.77,0.93,0.31,0.53,145.4,0.74,2.0,17.0,2.13,61.0,0.0,3.0,Croatia (Druga HNL),0.67,92,0.9523809523809524,0.1432512315270936,72000.0
11.0,90.0,188.0,80.0,33,6.91,0.0,0.14,0.0,0.65,0.12,0.0,0.0,0.91,0.0,0.0,112.2,0.81,1.0,19.0,2.82,91.0,0.0,1.0,Portugal (FPF Liga 3),0.7,104,0.0,0.1133333333333333,97500.0
30.0,88.8,180.0,78.0,29,6.92,2.0,0.13,0.0,0.29,0.0,0.1,0.07,0.75,0.14,0.2,55.0,0.69,0.0,34.0,0.51,29.0,0.0,1.0,Chile (Primera División),0.95,101,6.896551724137932,0.0206456456456456,262500.0
11.0,92.0,173.0,67.0,31,6.82,0.0,0.29,0.0,0.82,0.25,0.0,0.98,0.89,0.19,0.62,134.0,0.66,2.0,17.0,2.76,61.0,0.0,2.0,Portugal (Liga 3 Sul),0.81,94,0.0,0.1324110671936759,65000.0
16.0,90.0,184.0,83.0,24,6.93,2.0,0.44,0.0,0.9,0.0,0.0,0.0,0.97,1.0,0.0,161.3,0.81,3.0,6.0,2.19,179.0,2.0,0.0,Croatia (Prva HNL),0.6,112,2.2222222222222223,0.1120138888888889,83000.0
14.0,89.92857142857143,174.0,56.0,21,6.91,2.0,0.24,0.0,1.73,0.29,0.0,0.29,0.9,0.0,0.0,128.4,0.75,3.0,8.0,3.29,160.0,1.0,2.0,Portugal (Campeonato Safina - Aveiro),0.55,70,1.1560693641618498,0.1019857029388403,9250.0
15.0,86.13333333333334,184.0,81.0,22,6.75,0.0,0.2,0.0,0.49,0.07,0.0,0.21,0.87,0.0,0.07,121.9,0.86,1.0,11.0,2.37,143.0,0.0,0.0,Croatia (3. HNL Zapad),0.86,90,0.0,0.0943498452012383,5500.0
12.0,92.5,188.0,85.0,21,7.25,1.0,0.22,0.0,1.3,0.84,0.16,0.73,0.92,0.5,0.16,146.4,0.75,0.0,9.0,1.05,37.0,2.0,0.0,Croatia (Druga HNL),0.77,101,0.7692307692307692,0.1318918918918919,60000.0
11.0,90.0,170.0,67.0,31,6.98,1.0,0.11,0.0,2.76,1.22,0.18,1.09,0.94,0.16,0.82,137.3,0.73,1.0,22.0,3.55,71.0,1.0,2.0,France (National 2 Groupe B),0.77,93,0.3623188405797102,0.1386868686868687,90000.0
15.0,88.0,181.0,75.0,29,7.47,3.0,0.38,0.0,1.02,0.22,0.2,1.43,0.9,0.26,0.07,193.0,0.7,0.0,16.0,1.57,23.0,1.0,1.0,Italy (Lega Nazionale Dilettanti F),0.77,93,2.941176470588235,0.1462121212121212,138000.0
13.0,90.0,181.0,71.0,31,7.46,0.0,0.11,0.0,0.78,0.08,0.15,1.15,0.88,0.43,0.54,145.4,0.8,0.0,20.0,2.23,62.0,0.0,1.0,Slovenia (2. SNL),0.71,90,0.0,0.1242735042735042,19250.0
15.0,83.46666666666667,179.0,71.0,32,7.27,1.0,0.27,0.0,1.53,0.31,0.22,1.73,0.88,0.38,2.44,179.5,0.62,1.0,27.0,1.58,37.0,0.0,4.0,Italy (Lega Nazionale Dilettanti H),0.68,90,0.6535947712418301,0.1433706070287539,24750.0
16.0,90.0,188.0,82.0,23,6.87,0.0,0.13,0.0,1.11,0.06,0.0,0.19,0.9,0.0,0.06,169.1,0.82,0.0,16.0,2.56,165.0,0.0,2.0,Croatia (3. HNL Jug),0.7,81,0.0,0.1174305555555555,4500.0
11.0,90.0,179.0,77.0,23,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.9,0.0,0.18,105.8,0.76,2.0,8.0,2.45,120.0,0.0,0.0,Slovenia (1. SNL),0.89,101,0.0,0.1068686868686868,138000.0
15.0,84.26666666666667,188.0,83.0,24,7.09,5.0,0.25,0.0,2.5,0.08,0.14,0.36,0.93,0.0,0.14,140.7,0.84,0.0,12.0,3.7,113.0,1.0,0.0,Croatia (3. HNL Zapad),0.92,91,2.0,0.1113132911392405,15000.0
11.0,75.27272727272727,189.0,82.0,24,7.22,3.0,0.5,0.0,1.05,0.26,0.11,1.2,0.91,0.2,0.87,111.1,0.78,0.0,24.0,0.76,10.0,1.0,1.0,Portugal (Liga 3 Sul),0.78,95,2.857142857142857,0.1341787439613526,72500.0
13.0,78.3076923076923,183.0,72.0,25,6.8,1.0,0.25,0.0,0.78,0.53,0.0,1.5,0.89,0.12,0.09,128.2,0.78,0.0,16.0,1.06,24.0,0.0,1.0,Portugal (Liga Portugal 2),0.75,99,1.282051282051282,0.1259332023575638,36500.0
11.0,90.0,184.0,75.0,27,6.98,0.0,0.13,0.0,2.44,0.11,0.09,1.09,0.94,0.16,0.36,139.1,0.79,2.0,11.0,3.18,57.0,1.0,1.0,Portugal (Liga 3 Sul),0.9,94,0.0,0.1405050505050505,32500.0
16.0,90.0,196.0,105.0,28,7.39,0.0,0.14,0.0,2.74,0.06,0.19,1.06,0.92,0.09,0.44,190.4,0.86,3.0,19.0,2.88,117.0,2.0,2.0,Croatia (3. HNL Jug),0.94,92,0.0,0.1322222222222222,6500.0
13.0,90.0,190.0,75.0,27,6.88,0.0,0.17,0.0,0.64,0.11,0.0,0.0,0.92,1.0,0.15,138.5,0.78,2.0,20.0,2.31,135.0,1.0,3.0,Portugal (Liga Portugal 2),0.91,103,0.0,0.1183760683760683,38500.0
11.0,83.0,164.0,57.0,23,6.91,1.0,0.27,0.0,1.85,0.1,0.0,2.17,0.9,0.18,2.27,140.1,0.51,0.0,13.0,1.48,16.0,0.0,5.0,Slovenia (1. SNL),0.94,92,0.5405405405405405,0.1534501642935377,302500.0
16.0,88.3125,170.0,65.0,23,6.62,0.0,0.0,0.0,0.96,0.4,0.06,1.27,0.93,0.24,0.51,195.0,0.72,1.0,18.0,2.74,97.0,0.0,6.0,Portugal (Primeira Liga),0.83,109,0.0,0.138004246284501,121000.0
16.0,88.3125,170.0,65.0,23,6.62,0.0,0.0,0.0,0.96,0.4,0.06,1.27,0.93,0.24,0.51,195.0,0.72,1.0,18.0,2.74,97.0,0.0,6.0,Portugal (Primeira Liga),0.83,109,0.0,0.138004246284501,43000000.0
19.0,83.15789473684211,172.0,65.0,22,7.12,1.0,0.35,0.0,1.77,2.03,0.28,1.65,0.88,0.25,0.4,224.1,0.55,1.0,10.0,1.71,21.0,1.0,0.0,Portugal (Primeira Liga),0.93,157,0.5649717514124294,0.1418354430379746,121000.0
19.0,83.15789473684211,172.0,65.0,22,7.12,1.0,0.35,0.0,1.77,2.03,0.28,1.65,0.88,0.25,0.4,224.1,0.55,1.0,10.0,1.71,21.0,1.0,0.0,Portugal (Primeira Liga),0.93,157,0.5649717514124294,0.1418354430379746,43000000.0
17.0,84.88235294117646,178.0,74.0,24,6.82,2.0,0.58,0.0,0.91,0.14,0.0,0.62,0.91,0.16,0.06,198.9,0.7,1.0,6.0,0.87,32.0,1.0,0.0,Croatia (Prva HNL),0.69,106,2.197802197802197,0.1378378378378378,115000.0
13.0,88.61538461538461,183.0,80.0,23,6.95,2.0,0.54,0.0,1.04,1.39,0.0,0.47,0.89,0.4,0.55,164.9,0.78,0.0,26.0,1.64,18.0,0.0,2.0,Portugal (Liga Portugal 2),0.83,101,1.923076923076923,0.1431423611111111,94000.0
16.0,90.5625,185.0,80.0,35,7.1,1.0,0.29,0.0,0.56,0.0,0.0,0.0,0.74,1.0,0.0,19.6,1.0,0.0,37.0,0.19,26.0,0.0,0.0,France (National 3 Auvergne-Rhône-Alpes),0.86,89,1.7857142857142856,0.0135265700483091,15000.0
11.0,82.0,187.0,80.0,24,7.17,0.0,0.33,0.0,0.67,0.55,0.2,0.5,0.94,0.0,0.2,97.5,0.8,1.0,17.0,2.1,85.0,0.0,1.0,Croatia (3. HNL Zapad),1.0,113,0.0,0.1080931263858093,2300000.0
14.0,87.92857142857143,178.0,70.0,28,7.14,4.0,0.62,0.0,1.12,0.47,0.07,1.17,0.9,0.3,2.71,179.5,0.66,0.0,16.0,1.24,28.0,2.0,4.0,Italy (Lega Nazionale Dilettanti H),0.79,96,3.571428571428571,0.1458164094232331,192500.0
11.0,88.81818181818181,182.0,80.0,23,6.82,0.0,0.2,0.0,0.56,1.25,0.28,0.74,0.94,0.25,0.09,140.2,0.73,0.0,15.0,0.64,22.0,0.0,0.0,Portugal (FPF Liga 3),0.76,100,0.0,0.1435005117707267,94000.0
11.0,77.81818181818181,185.0,82.0,26,6.64,0.0,0.2,0.0,0.45,0.91,0.0,0.84,0.94,0.0,0.0,102.4,0.77,0.0,14.0,1.26,33.0,0.0,0.0,Portugal (FPF Liga 3),0.82,96,0.0,0.119626168224299,72500.0
12.0,90.0,194.0,86.0,24,6.78,0.0,0.25,0.0,0.4,0.0,0.0,0.0,0.92,0.0,0.17,124.0,0.85,0.0,19.0,3.33,147.0,0.0,2.0,Portugal (Liga Portugal 2),0.88,99,0.0,0.1148148148148148,22000.0
11.0,76.27272727272727,187.0,71.0,22,6.95,0.0,0.08,0.0,1.55,0.11,0.0,1.29,0.85,0.71,0.21,98.7,0.7,1.0,9.0,1.07,65.0,0.0,2.0,France (National 3 Nouvelle-Aquitaine),0.86,98,0.0,0.1176400476758045,660000.0
12.0,90.0,192.0,78.0,23,7.1,0.0,0.0,0.0,0.64,0.0,0.0,0.25,0.98,0.33,0.08,129.1,0.87,4.0,5.0,1.75,118.0,1.0,0.0,Portugal (Primeira Liga),0.73,114,0.0,0.119537037037037,1100000.0
11.0,90.0,191.0,83.0,27,7.07,0.0,0.11,0.0,2.06,0.25,0.0,0.09,0.93,1.0,0.0,107.8,0.77,3.0,8.0,2.09,93.0,0.0,0.0,Portugal (FPF Liga 3),0.71,108,0.0,0.1088888888888888,605000.0
11.0,90.0,184.0,75.0,24,7.01,1.0,0.18,0.0,0.8,0.11,0.0,0.09,0.9,0.0,0.0,117.3,0.81,3.0,6.0,2.45,111.0,0.0,0.0,France (National 2 Groupe C),0.73,94,1.25,0.1184848484848484,177500.0
13.0,72.38461538461539,178.0,70.0,29,6.9,0.0,0.44,0.0,1.26,0.13,0.0,1.63,0.92,0.12,0.57,131.8,0.61,0.0,9.0,1.24,14.0,0.0,1.0,Portugal (Liga Portugal 2),0.81,107,0.0,0.1400637619553666,55000.0
12.0,85.16666666666667,193.0,85.0,30,6.87,0.0,0.0,0.0,0.35,0.0,0.0,0.62,0.95,0.0,0.09,143.0,0.88,1.0,10.0,0.7,45.0,0.0,0.0,Slovenia (1. SNL),0.92,99,0.0,0.1399217221135029,32500.0
15.0,90.0,190.0,84.0,23,6.95,0.0,0.22,0.0,1.02,0.22,0.0,0.2,0.92,0.5,0.0,158.8,0.74,5.0,14.0,2.93,156.0,0.0,2.0,Italy (Lega Nazionale Dilettanti H),0.93,98,0.0,0.1176296296296296,260000.0
16.0,83.8125,177.0,69.0,30,7.02,6.0,0.53,0.0,1.21,0.0,0.07,1.28,0.89,0.42,0.27,179.1,0.64,0.0,24.0,0.87,35.0,0.0,1.0,Italy (Lega Nazionale Dilettanti D),0.48,89,4.958677685950414,0.1335570469798657,155000.0
17.0,87.88235294117646,183.0,74.0,25,7.49,2.0,0.12,0.0,0.3,0.35,0.36,0.24,0.78,0.18,0.06,21.1,0.38,0.0,21.0,0.0,3.0,3.0,1.0,France (National 3 Pays de la Loire),0.79,90,6.666666666666667,0.0141231593038821,121000.0
11.0,85.36363636363636,173.0,81.0,26,6.79,0.0,0.1,0.0,1.5,0.19,0.0,1.05,0.94,0.22,1.44,126.5,0.9,1.0,15.0,2.68,62.0,0.0,3.0,Slovenia (1. SNL),0.94,98,0.0,0.1347177848775292,66000.0
11.0,75.72727272727273,185.0,95.0,24,6.98,4.0,0.42,0.0,1.71,0.0,0.0,0.11,0.94,0.0,0.11,84.4,0.73,0.0,3.0,3.35,106.0,1.0,1.0,France (National 2 Groupe A),0.8,94,2.3391812865497075,0.1013205282112845,165000.0
14.0,84.14285714285714,193.0,92.0,27,7.34,1.0,0.25,0.0,1.22,0.0,0.0,0.38,0.95,0.0,0.0,140.8,0.8,6.0,6.0,2.67,115.0,2.0,0.0,Portugal (Liga Portugal 2),0.68,105,0.819672131147541,0.1195246179966044,85000.0
11.0,108.9090909090909,186.0,80.0,25,6.58,0.0,0.44,0.0,0.64,0.15,0.0,0.15,0.85,0.0,0.08,93.6,0.7,0.0,10.0,1.58,67.0,0.0,0.0,U.S.A. (MLS),1.0,105,0.0,0.0781302170283806,83000.0
11.0,90.0,168.0,70.0,29,7.15,3.0,0.5,0.0,0.92,0.09,0.09,1.18,0.88,0.26,3.09,142.9,0.49,0.0,18.0,1.45,13.0,1.0,8.0,Slovenia (1. SNL),0.82,93,3.260869565217391,0.1443434343434343,177500.0
12.0,63.0,190.0,81.0,21,6.47,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.94,0.13,1.07,96.8,0.7,1.0,24.0,2.74,43.0,0.0,2.0,Austria (Admiral Bundesliga),0.94,107,0.0,0.128042328042328,715000.0
13.0,89.61538461538461,186.0,81.0,22,7.67,1.0,0.2,0.0,0.01,0.0,0.0,0.0,0.8,0.0,0.0,29.4,0.84,1.0,14.0,0.62,25.0,0.0,0.0,Austria (ADMIRAL 2. Liga),1.0,116,100.0,0.0252360515021459,990000.0
12.0,89.5,183.0,71.0,21,6.84,1.0,0.32,0.0,2.66,0.49,0.17,1.34,0.88,0.25,0.42,154.9,0.71,0.0,13.0,1.01,23.0,0.0,1.0,Italy (Lega Nazionale Dilettanti H),0.71,94,0.3759398496240601,0.1442271880819366,138000.0
12.0,90.0,186.0,81.0,26,8.17,0.0,0.0,0.0,0.66,0.0,0.33,0.08,0.78,0.0,0.0,18.6,0.69,0.0,10.0,0.42,20.0,2.0,0.0,France (National 3 Hauts-de-France),0.93,93,0.0,0.0172222222222222,165000.0
14.0,83.57142857142857,185.0,77.0,32,7.06,0.0,0.3,0.0,0.93,0.17,0.08,0.38,0.94,0.0,0.0,126.7,0.71,1.0,8.0,2.92,146.0,0.0,1.0,Croatia (3. HNL Zapad),0.78,87,0.0,0.1082905982905983,1250.0
16.0,66.8125,180.0,72.0,29,6.93,4.0,0.47,0.0,2.31,0.34,0.25,1.68,0.87,0.18,0.42,137.8,0.71,0.0,15.0,1.43,24.0,1.0,2.0,Croatia (3. HNL Jug),0.95,93,1.7316017316017316,0.1289055191768007,27500.0
12.0,85.66666666666667,173.0,68.0,22,6.83,2.0,0.15,0.0,1.04,0.26,0.09,1.49,0.96,0.12,0.44,138.8,0.73,3.0,15.0,2.71,56.0,0.0,2.0,France (Ligue 2),0.77,103,1.923076923076923,0.1350194552529183,825000.0
13.0,75.15384615384616,178.0,75.0,25,7.05,3.0,0.42,0.0,0.97,0.64,0.28,1.47,0.86,0.45,0.46,121.1,0.69,0.0,14.0,0.46,17.0,1.0,1.0,Slovenia (2. SNL),0.91,97,3.09278350515464,0.1239508700102354,177500.0
14.0,90.0,181.0,73.0,30,6.74,0.0,0.0,0.0,0.27,0.29,0.07,1.64,0.89,0.24,1.36,199.2,0.76,2.0,29.0,2.29,77.0,0.0,7.0,Portugal (Campeonato Safina - Aveiro),0.79,82,0.0,0.1580952380952381,15000.0
12.0,82.91666666666667,186.0,82.0,21,7.15,0.0,0.14,0.0,0.55,0.2,0.09,0.36,0.92,0.0,0.0,115.5,0.86,2.0,3.0,2.71,122.0,0.0,0.0,Holland (Eerste Divisie),0.73,97,0.0,0.1160804020100502,605000.0
15.0,90.0,181.0,73.0,33,7.55,1.0,0.29,0.0,1.08,0.29,0.0,0.13,0.79,0.2,0.07,21.9,0.88,0.0,13.0,0.6,12.0,2.0,0.0,France (National 3 Méditerranée-Corse),1.0,86,0.9259259259259258,0.0162222222222222,40000.0
11.0,96.1818181818182,173.0,65.0,24,6.8,1.0,0.54,0.0,1.02,0.42,0.09,1.11,0.92,0.3,0.09,149.7,0.49,1.0,12.0,1.28,23.0,0.0,1.0,Portugal (Liga Portugal 2),0.93,102,0.9803921568627452,0.1414933837429111,150500.0
12.0,71.75,174.0,64.0,26,6.75,1.0,0.25,0.0,0.68,0.31,0.0,1.46,0.89,0.45,0.31,119.2,0.74,0.0,19.0,1.46,17.0,0.0,1.0,Belgium (Pro League),0.71,96,1.4705882352941175,0.1384436701509872,550000.0
11.0,92.36363636363636,185.0,80.0,23,6.77,0.0,0.25,0.0,0.2,0.0,0.0,0.18,0.86,0.0,0.0,116.5,0.86,0.0,11.0,3.01,131.0,0.0,0.0,Croatia (Prva HNL),1.0,111,0.0,0.1146653543307086,660000.0
